俭	5	0.000005
修	847	0.000831
俯	11	0.000011
俱	36	0.000035
俸	5	0.000005
俺	44	0.000043
倍	112	0.000110
倏	5	0.000005
倒	724	0.000711
倔	13	0.000013
倘	6	0.000006
候	889	0.000873
倚	9	0.000009
借	125	0.000123
倦	2	0.000002
倨	2	0.000002
倩	1	0.000001
倪	1	0.000001
倭	242	0.000238
债	8	0.000008
值	108	0.000106
倾	41	0.000040
偃	1	0.000001
假	135	0.000133
偌	14	0.000014
偏	261	0.000256
做	930	0.000913
停	280	0.000275
健	34	0.000033
偶	43	0.000042
偷	142	0.000139
偿	22	0.000022
傀	4	0.000004
傅	7	0.000007
傍	22	0.000022
储	46	0.000045
催	29	0.000028
傲	63	0.000062
傻	136	0.000133
像	1158	0.001137
僖	6	0.000006
僚	9	0.000009
僧	29	0.000028
僵	157	0.000154
僻	2	0.000002
儒	15	0.000015
儡	4	0.000004
儿	1540	0.001512
兀	3	0.000003
允	17	0.000017
元	83	0.000081
兄	250	0.000245
充	119	0.000117
兆	9	0.000009
先	1031	0.001012
光	975	0.000957
克	59	0.000058
免	144	0.000141
兑	6	0.000006
兔	37	0.000036
党	32	0.000031
兜	24	0.000024
兢	22	0.000022
入	606	0.000595
內	1	0.000001
全	633	0.000621
八	306	0.000300
公	1010	0.000991
六	340	0.000334
兮	60	0.000059
兰	14	0.000014
共	58	0.000057
关	495	0.000486
兴	477	0.000468
兵	283	0.000278
其	981	0.000963
具	145	0.000142
典	22	0.000022
养	262	0.000257
兼	17	0.000017
兽	288	0.000283
内	451	0.000443
冈	2	0.000002
冉	4	0.000004
册	25	0.000025
再	966	0.000948
冒	148	0.000145
冕	1	0.000001
写	236	0.000232
军	178	0.000175
农	121	0.000119
冠	27	0.000027
冢	1	0.000001
冤	47	0.000046
冥	16	0.000016
冬	16	0.000016
冯	2	0.000002
冰	88	0.000086
冲	395	0.000388
决	198	0.000194
况	230	0.000226
冶	6	0.000006
冷	618	0.000607
冻	18	0.000018
冽	18	0.000018
净	200	0.000196
凄	54	0.000053
准	332	0.000326
凉	162	0.000159
凋	1	0.000001
凌	81	0.000080
减	43	0.000042
凑	101	0.000099
凛	30	0.000029
凝	95	0.000093
几	1716	0.001684
凡	64	0.000063
凤	42	0.000041
凭	107	0.000105
凰	15	0.000015
凳	22	0.000022
凶	142	0.000139
凸	15	0.000015
凹	1	0.000001
出	4511	0.004428
击	458	0.000450
函	3	0.000003
凿	8	0.000008
刀	220	0.000216
刁	12	0.000012
刃	19	0.000019
分	1132	0.001111
切	233	0.000229
刊	2	0.000002
刑	40	0.000039
划	97	0.000095
列	18	0.000018
刘	45	0.000044
则	242	0.000238
刚	879	0.000863
创	32	0.000031
初	173	0.000170
删	3	0.000003
判	62	0.000061
刨	8	0.000008
利	285	0.000280
别	931	0.000914
刮	52	0.000051
到	6377	0.006259
制	283	0.000278
刷	86	0.000084
刹	13	0.000013
刺	173	0.000170
刻	213	0.000209
剁	3	0.000003
剂	3	0.000003
剃	20	0.000020
削	31	0.000030
剌	2	0.000002
前	1923	0.001888
剐	6	0.000006
剑	281	0.000276
剔	16	0.000016
剖	1	0.000001
剜	1	0.000001
剥	19	0.000019
剧	114	0.000112
剩	143	0.000140
剪	13	0.000013
副	337	0.000331
割	32	0.000031
剽	3	0.000003
剿	1	0.000001
劈	66	0.000065
力	1469	0.001442
劝	39	0.000038
办	400	0.000393
功	289	0.000284
加	491	0.000482
务	192	0.000188
劣	21	0.000021
动	1132	0.001111
助	216	0.000212
努	77	0.000076
劫	27	0.000027
励	34	0.000033
劲	134	0.000132
劳	53	0.000052
劾	10	0.000010
势	277	0.000272
勃	41	0.000040
勇	25	0.000025
勉	52	0.000051
勋	1	0.000001
勒	14	0.000014
勘	5	0.000005
募	4	0.000004
勤	32	0.000031
勺	11	0.000011
勾	141	0.000138
勿	5	0.000005
匀	5	0.000005
包	310	0.000304
匆	81	0.000080
匍	1	0.000001
匐	1	0.000001
匕	10	0.000010
