落	590	0.000579
百	590	0.000579
早	583	0.000572
微	580	0.000569
并	580	0.000569
向	579	0.000568
完	577	0.000566
跑	571	0.000560
目	571	0.000560
竟	569	0.000559
睛	569	0.000559
、	567	0.000557
音	564	0.000554
反	564	0.000554
呢	562	0.000552
今	562	0.000552
怪	560	0.000550
敢	559	0.000549
结	558	0.000548
惊	558	0.000548
张	549	0.000539
双	549	0.000539
何	548	0.000538
收	547	0.000537
伤	546	0.000536
容	541	0.000531
条	540	0.000530
陈	534	0.000524
父	529	0.000519
量	528	0.000518
甚	528	0.000518
根	528	0.000518
朱	524	0.000514
跟	521	0.000511
徐	521	0.000511
喜	518	0.000508
该	517	0.000507
主	517	0.000507
房	515	0.000506
强	510	0.000501
罗	509	0.000500
亲	509	0.000500
云	509	0.000500
衣	508	0.000499
忍	507	0.000498
村	506	0.000497
车	504	0.000495
飞	502	0.000493
指	502	0.000493
原	502	0.000493
平	498	0.000489
嘴	497	0.000488
爸	495	0.000486
关	495	0.000486
文	492	0.000483
满	491	0.000482
加	491	0.000482
害	487	0.000478
步	485	0.000476
服	485	0.000476
导	480	0.000471
石	479	0.000470
思	479	0.000470
阳	478	0.000469
兴	477	0.000468
急	475	0.000466
紧	473	0.000464
美	469	0.000460
顿	467	0.000458
错	467	0.000458
活	467	0.000458
火	466	0.000457
阵	464	0.000455
提	460	0.000452
命	460	0.000452
管	459	0.000451
谁	458	0.000450
击	458	0.000450
认	457	0.000449
雷	456	0.000448
续	454	0.000446
远	451	0.000443
内	451	0.000443
信	451	0.000443
孩	448	0.000440
场	448	0.000440
佛	448	0.000440
骨	447	0.000439
淡	447	0.000439
拳	445	0.000437
奇	445	0.000437
特	443	0.000435
简	441	0.000433
性	438	0.000430
梦	437	0.000429
般	436	0.000428
送	435	0.000427
吗	434	0.000426
胡	433	0.000425
妈	432	0.000424
随	431	0.000423
表	431	0.000423
底	431	0.000423
度	430	0.000422
爹	428	0.000420
息	428	0.000420
暗	426	0.000418
欢	425	0.000417
机	425	0.000417
青	424	0.000416
影	424	0.000416
姐	420	0.000412
失	420	0.000412
哈	412	0.000404
整	411	0.000403
香	408	0.000400
每	408	0.000400
慢	408	0.000400
解	407	0.000399
近	405	0.000398
吴	404	0.000397
掌	403	0.000396
章	401	0.000394
办	400	0.000393
弄	398	0.000391
厉	398	0.000391
拉	397	0.000390
冲	395	0.000388
终	390	0.000383
始	390	0.000383
魏	389	0.000382
记	388	0.000381
消	388	0.000381
总	388	0.000381
怒	388	0.000381
依	388	0.000381
深	386	0.000379
脑	384	0.000377
留	384	0.000377
脚	383	0.000376
继	383	0.000376
喝	383	0.000376
亮	383	0.000376
月	379	0.000372
站	377	0.000370
拍	376	0.000369
破	375	0.000368
由	375	0.000368
许	374	0.000367
工	371	0.000364
股	369	0.000362
吸	369	0.000362
且	369	0.000362
睡	368	0.000361
速	367	0.000360
肉	367	0.000360
静	366	0.000359
魂	365	0.000358
田	365	0.000358
展	364	0.000357
仿	364	0.000357
马	363	0.000356
金	363	0.000356
任	361	0.000354
狠	360	0.000353
异	359	0.000352
字	359	0.000352
沈	358	0.000351
士	357	0.000350
苦	355	0.000348
您	354	0.000347
婚	353	0.000346
秘	352	0.000346
巴	352	0.000346
合	352	0.000346
呵	350	0.000344
李	348	0.000342
尸	348	0.000342
抓	346	0.000340
传	345	0.000339
夫	344	0.000338
酒	343	0.000337
低	343	0.000337
丝	343	0.000337
辅	341	0.000335
压	341	0.000335
六	340	0.000334
显	338	0.000332
副	337	0.000331
挺	336	0.000330
草	335	0.000329
热	335	0.000329
武	335	0.000329
楚	335	0.000329
木	334	0.000328
墓	334	0.000328
交	333	0.000327
识	332	0.000326
绝	332	0.000326
断	332	0.000326
准	332	0.000326
鹤	331	0.000325
部	330	0.000324
运	330	0.000324
沉	330	0.000324
数	330	0.000324
确	327	0.000321
乎	327	0.000321
穿	323	0.000317
灯	322	0.000316
流	322	0.000316
伙	320	0.000314
望	319	0.000313
日	318	0.000312
足	317	0.000311
皮	317	0.000311
林	317	0.000311
保	317	0.000311
围	316	0.000310
群	315	0.000309
怀	314	0.000308
视	313	0.000307
龙	312	0.000306
必	312	0.000306
阿	311	0.000305
